Title,NP without modification,Surface modification,SizeTEM (nm),Zeta potential,Incubation protein source,Incubation plasma concentration (v/v%),Incubation NP concentration (mg/L),Centrifugation speed (g),Centrifugation time （min）,Certrifugation temperature (℃),NP type,NP shape,Dispersion medium,Dispersion medium pH,SizeDLS (nm),PDI,Incubation culture,Incubation time (h),Incubation temperature (℃),Centrifugation repetitions,Modification type,Individual proteins,P02647,P02768,P04264,P13645,P35908,P35527,P02788,P02533
Interaction of gold and silver nanoparticles with human plasma: Analysis of protein corona reveals specific binding patterns,Au,PVP,19.09,-23.97,HP,66,0.02101,19000,20,4,metal,sphere,plasma,7.4,47.02,0.126944444,buffer,1,37,1,Neutral,,0.118,0.276,0.08,0.03,0.003,0.027,0.105,0
Interaction of gold and silver nanoparticles with human plasma: Analysis of protein corona reveals specific binding patterns,Au,CIT,20.08,-24.97,HP,66,0.02101,19000,20,4,metal,sphere,plasma,7.4,56.6,0.126944444,buffer,1,37,1,Anionic,,0.882,0.346,0.11,0.083,0.004,0.014,0.038,0
Interaction of gold and silver nanoparticles with human plasma: Analysis of protein corona reveals specific binding patterns,Ag,BPEI,18.11,-25.7,HP,66,0.01141,19000,20,4,metal,sphere,plasma,7.4,301.67,0.126944444,buffer,1,37,1,Cationic,,0.411,0.752,0.034,0.04,0,0.008,0.001,0
Interaction of gold and silver nanoparticles with human plasma: Analysis of protein corona reveals specific binding patterns,Ag,CIT,20.08,-26.13,HP,66,0.01141,19000,20,4,metal,sphere,plasma,7.4,58.1,0.126944444,buffer,1,37,1,Anionic,,0.246,0.746,0.059,0.018,0,0.008,0.289,0.003
Interaction of gold and silver nanoparticles with human plasma: Analysis of protein corona reveals specific binding patterns,Au,BPEI,18.11,-26.9,HP,66,0.02101,19000,20,4,metal,sphere,plasma,7.4,295.2,0.126944444,buffer,1,37,1,Cationic,,0.565,0.618,0.149,0.066,0.005,0.048,0,0.005
"Lipid composition: a ""key factor"" for the rational manipulation of the liposome-protein corona by liposome design",DOTAP-Chol,none,83.5,50.5,HP,50,500,14000,15,25,liposome,sphere,buffer,7.4,83.5,0.126944444,buffer,1,37,1,Neutral,,3.012294983,4.153882021,0,1.126904659,1.156968436,0.963934395,0,0.507610324
"Lipid composition: a ""key factor"" for the rational manipulation of the liposome-protein corona by liposome design",DOTAP-DOPE,none,90.8,51.2,HP,50,500,14000,15,25,liposome,sphere,buffer,7.4,90.8,0.126944444,buffer,1,37,1,Neutral,,1.689628529,8.559986641,0,0.297317989,0.193204714,0.344019147,0,0.034500842
"Lipid composition: a ""key factor"" for the rational manipulation of the liposome-protein corona by liposome design",Chol-DC,none,85.6,55.6,HP,50,500,14000,15,25,liposome,sphere,buffer,7.4,85.6,0.126944444,buffer,1,37,1,Neutral,,1.874106871,3.047536185,0,0.380203696,0.562389814,0.288624472,0,0
"Lipid composition: a ""key factor"" for the rational manipulation of the liposome-protein corona by liposome design",DOTAP,none,78.8,55.7,HP,50,500,14000,15,25,liposome,sphere,buffer,7.4,78.8,0.126944444,buffer,1,37,1,Neutral,,1.766706183,4.476103742,0,0,0,0.159858414,0,0
"Lipid composition: a ""key factor"" for the rational manipulation of the liposome-protein corona by liposome design",DC-Chol-DOPE,none,119.2,56.3,HP,50,500,14000,15,25,liposome,sphere,buffer,7.4,119.2,0.126944444,buffer,1,37,1,Neutral,,4.581325221,5.549827975,0,2.078800394,1.593391618,1.69247136,0,0
"Lipid composition: a ""key factor"" for the rational manipulation of the liposome-protein corona by liposome design",Chol-DC,none,99.6,59.2,HP,50,500,14000,15,25,liposome,sphere,buffer,7.4,99.6,0.126944444,buffer,1,37,1,Neutral,,2.902656882,4.662730363,0,0.581711655,0.531813865,0.394265233,0,0
"Lipid composition: a ""key factor"" for the rational manipulation of the liposome-protein corona by liposome design",DOTAP,none,156.5,-1.5,HP,50,500,14000,15,25,liposome,sphere,plasma,7.4,156.5,0.126944444,buffer,1,37,1,Neutral,,1.766706183,4.476103742,0,0,0,0.159858414,0,0
"Lipid composition: a ""key factor"" for the rational manipulation of the liposome-protein corona by liposome design",Chol-DC,none,220,-10.6,HP,50,500,14000,15,25,liposome,sphere,plasma,7.4,220,0.126944444,buffer,1,37,1,Neutral,,2.902656882,4.662730363,0,0.581711655,0.531813865,0.394265233,0,0
"Lipid composition: a ""key factor"" for the rational manipulation of the liposome-protein corona by liposome design",Chol-DC,none,210,-11.2,HP,50,500,14000,15,25,liposome,sphere,plasma,7.4,210,0.126944444,buffer,1,37,1,Neutral,,1.874106871,3.047536185,0,0.380203696,0.562389814,0.288624472,0,0
"Lipid composition: a ""key factor"" for the rational manipulation of the liposome-protein corona by liposome design",DC-Chol-DOPE,none,250,-11.4,HP,50,500,14000,15,25,liposome,sphere,plasma,7.4,250,0.126944444,buffer,1,37,1,Neutral,,4.581325221,5.549827975,0,2.078800394,1.593391618,1.69247136,0,0
"Lipid composition: a ""key factor"" for the rational manipulation of the liposome-protein corona by liposome design",DOTAP-DOPE,none,178.1,-2.1,HP,50,500,14000,15,25,liposome,sphere,plasma,7.4,178.1,0.126944444,buffer,1,37,1,Neutral,,1.689628529,8.559986641,0,0.297317989,0.193204714,0.344019147,0,0.034500842
"Lipid composition: a ""key factor"" for the rational manipulation of the liposome-protein corona by liposome design",DOTAP-Chol,none,187.4,-2.4,HP,50,500,14000,15,25,liposome,sphere,plasma,7.4,187.4,0.126944444,buffer,1,37,1,Neutral,,3.012294983,4.153882021,0,1.126904659,1.156968436,0.963934395,0,0.507610324
The liposome-protein corona in mice and humans and its implications for in vivo delivery,DOTAP,PEG,152.85,-13.74,HP,50,500,14000,15,25,liposome,sphere,plasma,7.4,152.85,0.126944444,buffer,1,37,1,Neutral,,1.405337901,0.567770601,0.129178577,0.142148663,0.327559962,0,0,0.125984601
The liposome-protein corona in mice and humans and its implications for in vivo delivery,DOTAP-DSPC-Chol,none,208,-15.7,HP,50,500,14000,15,25,liposome,sphere,plasma,7.4,208,0.126944444,buffer,1,37,1,Neutral,,1.44186748,0.425694209,0.650820954,0.291641465,0.270350153,0.04988604,0,0.266058881
The liposome-protein corona in mice and humans and its implications for in vivo delivery,DOTAP,PEG,258.54,-19.64,RP,50,500,14000,15,25,liposome,sphere,plasma,7.4,258.54,0.126944444,buffer,1,37,1,Neutral,,0.461885231,1.390341484,0,0,0,0,0,0
The liposome-protein corona in mice and humans and its implications for in vivo delivery,DOTAP-DSPC-Chol,none,164.8,-42.03,RP,50,500,14000,15,25,liposome,sphere,plasma,7.4,164.8,0.126944444,buffer,1,37,1,Neutral,,1.31013909,1.50608726,0.652738912,0.498865151,0.394632991,0.389859205,0,0.14229555
Magnetic nanoparticles to recover cellular organelles and study the time resolved nanoparticle-cell interactome throughout uptake,Fe3O4,SiO2,51,-13.5,FBS,10,250,20000,20,4,metal,sphere,water,7,209,0.196,DMEM,24,37,1,Neutral,,0,0.76,0,0,0,0,0,0
A magnetic-dependent protein corona of tailor-made superparamagnetic iron oxides alters their biological behaviors,Fe3O4,none,175.3,-19,FBS,10,60,15000,20,25,metal,sphere,cell culture,7.4,175.3,0.126944444,DMEM,12,37,1,Cationic,,1.09,20.21,0,0,0,0,0,0
A magnetic-dependent protein corona of tailor-made superparamagnetic iron oxides alters their biological behaviors,Fe3O4,none,178.2,-22.7,FBS,10,60,15000,20,25,metal,sphere,cell culture,7.4,178.2,0.126944444,DMEM,12,37,1,Cationic,,2.74,25.96,0,0,0,0,0,0
Mapping protein binding sites on the biomolecular corona of nanoparticles,PS,COOH,200,-13.5,HP,80,1000,20000,10,25,other,sphere,plasma,7.4,220,0.126944444,buffer,1,25,1,Anionic,,1.93,1.43,0,0,0,0,0,0
Nanoparticle size is a critical physicochemical determinant of the human blood plasma corona: A comprehensive quantitative proteomic analysis,SiO2,none,9.6,-11,HP,50,1660,12000,10,4,other,sphere,buffer,7.4,12.5,0.126944444,buffer,1,4,1,Neutral,,14.99964697,7.248045966,0.050451766,0.105504444,0.021133494,0.014567401,0,0
Nanoparticle size is a critical physicochemical determinant of the human blood plasma corona: A comprehensive quantitative proteomic analysis,SiO2,none,15.7,-25,HP,50,1660,12000,10,4,other,sphere,buffer,7.4,17.6,0.126944444,buffer,1,4,1,Neutral,,12.91979688,11.04467862,0.044320034,0.337906112,0.021279078,0.018331416,0,0
Nanoparticle size is a critical physicochemical determinant of the human blood plasma corona: A comprehensive quantitative proteomic analysis,SiO2,none,54.9,-32,HP,50,1660,12000,10,4,other,sphere,buffer,7.4,71.3,0.126944444,buffer,1,4,1,Neutral,,20.41731878,11.31982558,0.195702536,0.143249274,0.055132528,0.064427361,0,0
Nanoparticle size matters in the formation of plasma protein coronas on Fe3O4 nanoparticles,Fe3O4,none,225,-23.4,HP,50,1660,1000,20,25,metal,sphere,PBS,7.4,643.1,0.38,buffer,1,37,1,Cationic,,9.44,8.83,0.54,0.26,0.28,0.19,0,0.11
Nanoparticle size matters in the formation of plasma protein coronas on Fe3O4 nanoparticles,Fe3O4,none,225,-23.4,HP,50,1660,1000,20,25,metal,sphere,PBS,7.4,643.1,0.38,buffer,1,37,1,Cationic,,10.11,9.32,0.48,0.3,0.21,0.19,0,0.12
Nanoparticle size matters in the formation of plasma protein coronas on Fe3O4 nanoparticles,Fe3O4,none,225,-23.4,HP,50,1660,1000,20,25,metal,sphere,PBS,7.4,643.1,0.38,buffer,1,37,1,Cationic,,9.63,8.89,0.5,0.29,0.23,0.19,0,0.08
Nanoparticle size matters in the formation of plasma protein coronas on Fe3O4 nanoparticles,Fe3O4,none,375,-24.3,HP,50,1660,1000,20,25,metal,sphere,PBS,7.4,571.1,0.44,buffer,1,37,1,Cationic,,1.77,2.53,0.33,0.22,0.16,0.1,0,0
Nanoparticle size matters in the formation of plasma protein coronas on Fe3O4 nanoparticles,Fe3O4,none,375,-24.3,HP,50,1660,1000,20,25,metal,sphere,PBS,7.4,571.1,0.44,buffer,1,37,1,Cationic,,2.03,2.52,0.32,0.15,0.17,0.1,0,0
Nanoparticle size matters in the formation of plasma protein coronas on Fe3O4 nanoparticles,Fe3O4,none,375,-24.3,HP,50,1660,1000,20,25,metal,sphere,PBS,7.4,571.1,0.44,buffer,1,37,1,Cationic,,1.5,2.45,0.39,0.19,0.17,0.1,0,0
Nanoparticle size matters in the formation of plasma protein coronas on Fe3O4 nanoparticles,Fe3O4,none,30,-28.9,HP,50,1660,1000,20,25,metal,sphere,PBS,7.4,833.4,0.41,buffer,1,37,1,Cationic,,2.21,1.33,0.16,0.11,0.05,0,0,0
Nanoparticle size matters in the formation of plasma protein coronas on Fe3O4 nanoparticles,Fe3O4,none,30,-28.9,HP,50,1660,1000,20,25,metal,sphere,PBS,7.4,833.4,0.41,buffer,1,37,1,Cationic,,2.21,1.24,0.17,0.11,0.1,0,0.02,0
Nanoparticle size matters in the formation of plasma protein coronas on Fe3O4 nanoparticles,Fe3O4,none,30,-28.9,HP,50,1660,1000,20,25,metal,sphere,PBS,7.4,833.4,0.41,buffer,1,37,1,Cationic,,2.41,1.25,0.19,0.1,0.07,0,0.02,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOTAP-DC-Chol,PEG,103.2,9.9,HP,50,500,14000,15,4,liposome,sphere,buffer,7.4,103.2,0.09,water,1,37,1,Neutral,,1.36,1.84,1.59,1.36,0,1.23,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOTAP-DC-Chol,PEG,123,17.9,HP,50,500,14000,15,4,liposome,sphere,buffer,7.4,123,0.12,water,1,37,1,Neutral,,1.66,2.46,1.47,1.22,1.08,1.17,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOTAP-DC-Chol,PEG,114,18.1,HP,50,500,14000,15,4,liposome,sphere,buffer,7.4,114,0.08,water,1,37,1,Neutral,,2.47,1.28,1.71,1.31,1.3,1.28,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOTAP-DC-Chol,none,131,26.1,HP,50,500,14000,15,4,liposome,sphere,buffer,7.4,131,0.1,water,1,37,1,Neutral,,2.97,4.09,0,2.08,1.59,1.69,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOTAP-DC-Chol,none,135,30.1,HP,50,500,14000,15,4,liposome,sphere,buffer,7.4,135,0.14,water,1,37,1,Neutral,,2.01,8.56,0,0,0,0,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOTAP-DC-Chol,none,144,30.2,HP,50,500,14000,15,4,liposome,sphere,buffer,7.4,144,0.09,water,1,37,1,Neutral,,2.53,1.31,1.62,0,0,1.18,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOTAP-DC-Chol,none,254.6,33.1,HP,50,500,14000,15,4,liposome,sphere,buffer,7.4,254.6,0.12,water,1,37,1,Neutral,,0,2.67,0,0,0,0,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOTAP-DC-Chol,none,108,34.5,HP,50,500,14000,15,4,liposome,sphere,buffer,7.4,108,0.14,water,1,37,1,Neutral,,1,1.91,0,0,0,0,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOTAP-DC-Chol,none,193.4,42.1,HP,50,500,14000,15,4,liposome,sphere,buffer,7.4,193.4,0.13,water,1,37,1,Neutral,,2.04,5.59,0,0,0,0,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOTAP-DC-Chol,none,125,46.2,HP,50,500,14000,15,4,liposome,sphere,buffer,7.4,125,0.18,water,1,37,1,Neutral,,1.13,2.24,0,0,0,0,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOTAP-DC-Chol,none,128,47.4,HP,50,500,14000,15,4,liposome,sphere,buffer,7.4,128,0.11,water,1,37,1,Neutral,,0,4.66,0,0,0,0,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOTAP-DC-Chol,none,157,58.2,HP,50,500,14000,15,4,liposome,sphere,buffer,7.4,157,0.17,water,1,37,1,Neutral,,3.26,4.63,0,0,0,0,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOTAP-DC-Chol,PEG,115,-13.2,HP,50,500,14000,15,4,liposome,sphere,plasma,7.4,115,0.13,water,1,37,1,Neutral,,1.36,1.84,1.59,1.36,0,1.23,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOTAP-DC-Chol,PEG,137,-13.9,HP,50,500,14000,15,4,liposome,sphere,plasma,7.4,137,0.16,water,1,37,1,Neutral,,2.47,1.28,1.71,1.31,1.3,1.28,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOPG-DOPA,none,126,-14.2,HP,50,500,14000,15,4,liposome,sphere,buffer,7.4,126,0.11,water,1,37,1,Neutral,,0,2.98,3.14,2.33,2.21,3.13,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOTAP-DC-Chol,none,329,-15.4,HP,50,500,14000,15,4,liposome,sphere,plasma,7.4,329,0.15,water,1,37,1,Neutral,,0,2.67,0,0,0,0,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOTAP-DC-Chol,none,216,-17.9,HP,50,500,14000,15,4,liposome,sphere,plasma,7.4,216,0.22,water,1,37,1,Neutral,,1,1.91,0,0,0,0,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOPG-DOPA,none,152,-18.2,HP,50,500,14000,15,4,liposome,sphere,plasma,7.4,152,0.15,water,1,37,1,Neutral,,1.12,5.81,2.85,3.23,2.58,1.96,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOTAP-DC-Chol,none,259,-19.3,HP,50,500,14000,15,4,liposome,sphere,plasma,7.4,259,0.12,water,1,37,1,Neutral,,2.01,8.56,0,0,0,0,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOTAP-DC-Chol,none,236,-19.3,HP,50,500,14000,15,4,liposome,sphere,plasma,7.4,236,0.19,water,1,37,1,Neutral,,2.04,5.59,0,0,0,0,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOTAP-DC-Chol,none,207,-20.4,HP,50,500,14000,15,4,liposome,sphere,plasma,7.4,207,0.21,water,1,37,1,Neutral,,1.13,2.24,0,0,0,0,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOPC-DOPE-PEG-DSPC-DPPC,none,301,-22.1,HP,50,500,14000,15,4,liposome,sphere,plasma,7.4,301,0.15,water,1,37,1,Neutral,,1.92,7.25,1.31,1.01,0,0,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOTAP-DC-Chol,none,150,-23,HP,50,500,14000,15,4,liposome,sphere,plasma,7.4,150,0.15,water,1,37,1,Neutral,,0,4.66,0,0,0,0,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOTAP-DC-Chol,PEG,169,-24.5,HP,50,500,14000,15,4,liposome,sphere,plasma,7.4,169,0.17,water,1,37,1,Neutral,,1.66,2.46,1.47,1.22,1.08,1.17,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOTAP-DC-Chol,none,182,-25.5,HP,50,500,14000,15,4,liposome,sphere,plasma,7.4,182,0.16,water,1,37,1,Neutral,,2.97,4.09,0,2.08,1.59,1.69,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOPG-DOPA,none,136,-26.6,HP,50,500,14000,15,4,liposome,sphere,buffer,7.4,136,0.1,water,1,37,1,Neutral,,1.12,5.81,2.85,3.23,2.58,1.96,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOTAP-DC-Chol,none,211,-28.5,HP,50,500,14000,15,4,liposome,sphere,plasma,7.4,211,0.23,water,1,37,1,Neutral,,3.26,4.63,0,0,0,0,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOPG-DOPA,none,171,-28.6,HP,50,500,14000,15,4,liposome,sphere,plasma,7.4,171,0.13,water,1,37,1,Neutral,,0,2.98,3.14,2.33,2.21,3.13,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOTAP-DC-Chol,none,178,-29.3,HP,50,500,14000,15,4,liposome,sphere,plasma,7.4,178,0.14,water,1,37,1,Neutral,,2.53,1.31,1.62,0,0,1.18,0,0
Nanoparticles-cell association predicted by protein corona fingerprints,DOPC-DOPE-PEG-DSPC-DPPC,none,191,-8.4,HP,50,500,14000,15,4,liposome,sphere,buffer,7.4,191,0.11,water,1,37,1,Neutral,,1.92,7.25,1.31,1.01,0,0,0,0
The on-bead digestion of protein corona on nanoparticles by trypsin immobilized on the magnetic nanoparticle,Fe3O4,none,30,-19.5,HP,50,10000,1400,60,37,metal,sphere,PBS,7.4,250,0.126944444,buffer,1,37,1,Cationic,,2.763588818,0.566412533,0.703893197,0.604232714,0.308344774,0,0,0.065317638
Phosphatidylcholine-Coated Iron Oxide Nanomicelles for in Vivo Prolonged Circulation Time with an Antibiofouling Protein Corona,Fe3O4,PC,7,-11.5,RS,80,20,16000,120,10,metal,sphere,PBS,7.4,74.9,0.14,buffer,0.25,37,1,Anionic,,0.03436445,0.031983908,0.110980748,0.600587643,0,0,0,0.032595978
Phosphatidylcholine-Coated Iron Oxide Nanomicelles for in Vivo Prolonged Circulation Time with an Antibiofouling Protein Corona,Fe3O4,PC,7,-11.5,RS,80,20,16000,120,10,metal,sphere,PBS,7.4,74.9,0.14,buffer,1.5,37,1,Anionic,,0.030177359,0,0,0.527409831,0,0,0,0.028624364
Phosphatidylcholine-Coated Iron Oxide Nanomicelles for in Vivo Prolonged Circulation Time with an Antibiofouling Protein Corona,Fe3O4,PC,7,-11.5,RS,80,20,16000,120,10,metal,sphere,PBS,7.4,74.9,0.14,buffer,3,37,1,Anionic,,0.077470961,0,0,0.812376189,0,0,0,0.227264304
Phosphatidylcholine-Coated Iron Oxide Nanomicelles for in Vivo Prolonged Circulation Time with an Antibiofouling Protein Corona,Fe3O4,none,11,-4,RS,80,20,16000,120,10,metal,sphere,PBS,7.4,25,0.19,buffer,0.25,37,1,Cationic,,0.061623678,0,0,0.861597834,0,0,0,0.058452385
Phosphatidylcholine-Coated Iron Oxide Nanomicelles for in Vivo Prolonged Circulation Time with an Antibiofouling Protein Corona,Fe3O4,none,11,-4,RS,80,20,16000,120,10,metal,sphere,PBS,7.4,25,0.19,buffer,1.5,37,1,Cationic,,0,0,0,0.713310442,0,0,0,0
Phosphatidylcholine-Coated Iron Oxide Nanomicelles for in Vivo Prolonged Circulation Time with an Antibiofouling Protein Corona,Fe3O4,none,11,-4,RS,80,20,16000,120,10,metal,sphere,PBS,7.4,25,0.19,buffer,3,37,1,Cationic,,0.02974739,0,0,0.727853362,0,0,0,0.105204345
Physical-Chemical aspects of protein corona: Relevance to in vitro and in vivo biological impacts of nanoparticles,SiO2,none,245.8,-11.1,HP,10,1250,18000,3,4,other,sphere,plasma,7.4,245.8,0.07,buffer,1,0,1,Neutral,,9.451,1.801,0,0,0,0,0,0
Physical-Chemical aspects of protein corona: Relevance to in vitro and in vivo biological impacts of nanoparticles,SiO2,none,245.8,-11.1,HP,55,1250,18000,3,4,other,sphere,plasma,7.4,245.8,0.07,buffer,1,0,1,Neutral,,14.83,9.666,0,0,0,0,0,0
Physical-Chemical aspects of protein corona: Relevance to in vitro and in vivo biological impacts of nanoparticles,SiO2,none,205,-25.2,HP,10,1250,18000,3,4,other,sphere,PBS,7.4,205,0.041,buffer,1,0,1,Neutral,,9.451,1.801,0,0,0,0,0,0
Physical-Chemical aspects of protein corona: Relevance to in vitro and in vivo biological impacts of nanoparticles,SiO2,none,205,-25.2,HP,55,1250,18000,3,4,other,sphere,PBS,7.4,205,0.041,buffer,1,0,1,Neutral,,14.83,9.666,0,0,0,0,0,0
Physical-Chemical aspects of protein corona: Relevance to in vitro and in vivo biological impacts of nanoparticles,PSOSO3,none,244.5,-43.4,HP,10,1250,18000,3,4,liposome,sphere,PBS,7.4,244.5,0.051,buffer,1,0,1,Anionic,,2.865,5.276,0,0,0,0,0,0
Physical-Chemical aspects of protein corona: Relevance to in vitro and in vivo biological impacts of nanoparticles,PSOSO3,none,244.5,-43.4,HP,55,1250,18000,3,4,liposome,sphere,PBS,7.4,244.5,0.051,buffer,1,0,1,Anionic,,5.58,4.15,0,0,0,0,0,0
Protein Adsorption from Biofluids on Silica Nanoparticles: Corona Analysis as a Function of Particle Diameter and Porosity,SiO2,none,869,-11.6,FBS,10,1000,14800,5,25,other,sphere,water,7,754,0.371,DMEM,1,25,1,Neutral,,0,0.785741663,0,0,0,0,0,0
Protein Adsorption from Biofluids on Silica Nanoparticles: Corona Analysis as a Function of Particle Diameter and Porosity,SiO2,none,73,-12.2,FBS,10,1000,14800,5,25,other,sphere,water,7,119,0.251,DMEM,1,25,1,Neutral,,0.165837479,1.002235201,0,0,0,0,0,0
Protein Adsorption from Biofluids on Silica Nanoparticles: Corona Analysis as a Function of Particle Diameter and Porosity,SiO2,none,914,-20.1,FBS,10,1000,14800,5,25,other,sphere,water,7,1496,0.401,DMEM,1,25,1,Neutral,,0,0,0,0,0,0,0,0
Protein Adsorption from Biofluids on Silica Nanoparticles: Corona Analysis as a Function of Particle Diameter and Porosity,SiO2,none,251,-22.6,FBS,10,1000,14800,5,25,other,sphere,water,7,281,0.074,DMEM,1,25,1,Neutral,,0,0.325115145,0,0,0,0,0,0
Protein Adsorption from Biofluids on Silica Nanoparticles: Corona Analysis as a Function of Particle Diameter and Porosity,SiO2,none,482,-37.2,FBS,10,1000,14800,5,25,other,sphere,water,7,525,0.265,DMEM,1,25,1,Neutral,,0,0.316813759,0,0,0,0,0,0
Protein Adsorption from Biofluids on Silica Nanoparticles: Corona Analysis as a Function of Particle Diameter and Porosity,SiO2,none,85,-37.7,FBS,10,1000,14800,5,25,other,sphere,water,7,137,0.123,DMEM,1,25,1,Neutral,,0,0.98758465,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,MSA,59.3,-14.23833333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,52,0.287666667,buffer,1,37,1,Anionic,,0.8635,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,amino acid,59.3,-12.15,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,7.4,97.68,0.095888889,buffer,1,37,1,Anionic,,3.7043,0,0,0,0,0,0.2084,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,ODA,59.3,-11.75166667,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,41.78,0.42125,buffer,1,37,1,Cationic,,21.4589,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,amino acid,59.3,-11.645,HS,100,1007.212946,4500,45,4,metal,sphere,PBS,7.4,60.9,0.143777778,buffer,1,37,1,Anionic,,0.9474,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,CVVIT,59.3,-11.57666667,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,7.4,103.94,0.0575,buffer,1,37,1,Anionic,,1.0402,0,0,0,0,0,0.6829,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,AUT,59.3,-11.46666667,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,7.4,108.27,0.086111111,buffer,1,37,1,Cationic,,4.8218,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,CALNN,59.3,-11.405,HS,100,1007.212946,4500,45,4,metal,sphere,PBS,7.4,65.4,0.08625,buffer,1,37,1,Anionic,,1.0145,0,0,0,0,0,1.3653,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,AC,31.6,-11.355,HS,100,1007.212946,4500,45,4,metal,sphere,PBS,7.4,64.29,0.248,buffer,1,37,1,Anionic,,1.0107,0,0,0,0,0,0.654,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,MAA,59.3,-11.13833333,HS,100,1007.212946,4500,45,4,metal,sphere,PBS,7.4,61.91,0.214444444,buffer,1,37,1,Anionic,,1.4198,0,0,0,0,0,0.0883,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,MPA,59.3,-10.96166667,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,55.65,0.289111111,buffer,1,37,1,Anionic,,0.5807,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,LA,59.3,-10.8975,HS,100,1007.212946,4500,45,4,metal,sphere,PBS,7.4,62.97,0.158,buffer,1,37,1,Anionic,,0.9597,0,0,0,0,0,0.3093,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,HDA,59.3,-10.795,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,7.4,94.45,0.106333333,buffer,1,37,1,Cationic,,9.0138,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,MAA,59.3,-10.705,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,60.99,0.238444444,buffer,1,37,1,Anionic,,1.6232,0,0,0,0,0,0,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,DTNB,59.3,-10.66,HS,100,1888.699399,1500,45,4,metal,sphere,PBS,7.4,105.18,0.056777778,buffer,1,37,1,Anionic,,1.2631,0,0,0,0,0,0.8291,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,amino acid,59.3,-10.59833333,HS,100,1007.212946,4500,45,4,metal,sphere,PBS,7.4,61.31,0.201333333,buffer,1,37,1,Anionic,,1.0851,0,0,0,0,0,0.4603,0
Protein corona fingerprinting predicts the cellular interaction of gold and silver nanoparticles,Au,amino acid,59.3,-10.42333333,HS,100,474.087541,15000,45,4,metal,sphere,PBS,7.4,41.93,0.140388889,buffer,1,37,1,Anionic,,3.9339,0,0,0,0,0,0.1499,0
